NamBriefName,NamFirst,NamLast,NamMiddle,NamRoles_tab(1)
W. D. Sumlin,W.,Sumlin,D.,Collector
Sychevskaya,,Sychevskaya,,Collector
Szilady,,Szilady,,Author
M. L. Tarbox,M.,Tarbox,L.,Collector
E. Tascheuberg,E.,Tascheuberg,,Collector
P. M. Taylor,P.,Taylor,M.,Collector
M. Thayer,M.,Thayer,,Collector
D. L. Theron,D.,Theron,L.,Collector
M. Thomas,M.,Thomas,,Collector
S. Tirgari,S.,Tirgari,,Collector
G. Tjusoeroe,G.,Tjusoeroe,,Collector
A. Tonnoir,A.,Tonnoir,,Collector
Tothill,,Tothill,,Author
C. H. T. Townsend,C.,Townsend,H. T.,Collector
O. H. T. Townsend,O.,Townsend,H. T.,Collector
Tripotin,,Tripotin,,Collector
Hans-Peter Tschorsnig,Hans-Peter,Tschorsnig,,Identifier
R. Urtiaga,R.,Urtiaga,,Collector
M. R. Vaughn,M.,Vaughn,R.,Collector
Verves,,Verves,,Author
B. Viklund,B.,Viklund,,Collector
Viklund,,Viklund,,Collector
J. R. Vockeroth,J.,Vockeroth,R.,Identifier
M. Volkovish,M.,Volkovish,,Collector
M. Volovitsh,M.,Volovitsh,,Collector
J. Wasbauer,J.,Wasbauer,,Collector
M. Wasbauer,M.,Wasbauer,,Collector
M. Wasnauer,M.,Wasnauer,,Collector
F. Waythowshi,F.,Waythowshi,,Collector
Donald W. Webb,Donald,Webb,W.,Identifier
Irwin Webb,Irwin,Webb,,Identifier
Webber,,Webber,,Author
H. V. Weems,H.,Weems,V.,Collector
H. V. WeemsJr,H.,WeemsJr,V.,Collector
L. Weeratunge,L.,Weeratunge,,Collector
Weintraub,,Weintraub,,Collector
J. D. Weintraub,J.,Weintraub,D.,Collector
O. Wharton,O.,Wharton,,Collector
Terry L. Whitworth,Terry,Whitworth,L.,Identifier
T. L. Whitworth,T.,Whitworth,L.,Collector
T. Wijesinhe,T.,Wijesinhe,,Collector
Joseph Wilcox,Joseph,Wilcox,,Identifier
R. E. Williams,R.,Williams,E.,Collector
S. C. Williams,S.,Williams,C.,Collector
R. G. Wind,R.,Wind,G.,Collector
S. Winterton,S.,Winterton,,Collector
J. Wolinski,J.,Wolinski,,Collector
D. M. Wood,D.,Wood,M.,Collector
D. Monty Wood,D.,Wood,Monty,Identifier
Norman E. Woodley,Norman,Woodley,E.,Identifier
Woodley,,Woodley,,Identifier
Woodley,,Woodley,,Collector
N. Woodley,N.,Woodley,,Collector
Woods,,Woods,,Collector
J. Woonski,J.,Woonski,,Collector
S. Yanoviak,S.,Yanoviak,,Collector
K. Yeargan,K.,Yeargan,,Collector
D. Yeates,D.,Yeates,,Collector
C. Young,C.,Young,,Collector
Zumpt,,Zumpt,,Author
F. Zumpt,F.,Zumpt,,Identifier
J. Zuska,J.,Zuska,,Identifier
H. J. deFluister,H.,deFluister,J.,Collector
P. lehr,P.,lehr,,Collector
S. vanNoor,S.,vanNoor,,Collector
